Date,picture files  ,th'hold,corrections    ,Miller,LAI2000,°,Lang,N.& C.,°      ,Fmv,Frv,T. & al,°      ,Fmv,Frv,,,
15-9-2015,0001_1119IS100CV50EV0.jpg,128,-              ,"1,16","1,16",29,"1,27","1,16",11,"33,10%",-,"1,16",17,"34,30%",-,,,
15-9-2015,0001_1119IS100CV50EV0.jpg,128,S. & al. (2007),"1,15","1,15",29,"1,26","1,15",11,"33,30%",-,"1,16",17,"34,50%",-,,,
15-9-2015,0001_1119IS100CV50EV0.jpg,128,C. & C. (1995) ,"1,75","1,75",0,"1,92","1,73",10,"33,10%","25,00%","1,79",0,"34,30%","28,50%",,,
15-9-2015,0001_1119IS100CV50EV0.jpg,128,S.& al.+ C.& C.,"1,74","1,74",0,"1,91","1,72",10,"33,30%","25,10%","1,78",0,"34,50%","28,60%",,,
15-9-2015,0001_1119IS100CV50EV2.jpg,128,-              ,"1,04","1,04",36,"1,14","1,03",11,"37,20%",-,"1,04",16,"38,00%",-,,,
15-9-2015,0001_1119IS100CV50EV2.jpg,128,S. & al. (2007),"1,03","1,03",35,"1,13","1,02",10,"37,40%",-,"1,04",15,"38,10%",-,,,
15-9-2015,0001_1119IS100CV50EV2.jpg,128,C. & C. (1995) ,"1,57","1,57",0,"1,72","1,55",9,"37,20%","28,30%","1,6",0,"38,00%","31,40%",,,
15-9-2015,0001_1119IS100CV50EV2.jpg,128,S.& al.+ C.& C.,"1,56","1,56",0,"1,71","1,54",9,"37,40%","28,40%","1,59",0,"38,10%","31,20%",,,
15-9-2015,0001_1119IS400CV0EV0.jpg,128,-              ,"1,23","1,23",10,"1,37","1,24",11,"30,40%",-,"1,24",16,"31,70%",-,,,
15-9-2015,0001_1119IS400CV0EV0.jpg,128,S. & al. (2007),"1,23","1,23",11,"1,36","1,24",11,"30,50%",-,"1,24",16,"31,80%",-,,,
15-9-2015,0001_1119IS400CV0EV0.jpg,128,C. & C. (1995) ,"1,72","1,72",0,"1,89","1,71",10,"30,40%","20,30%","1,74",11,"31,70%","22,80%",,,
15-9-2015,0001_1119IS400CV0EV0.jpg,128,S.& al.+ C.& C.,"1,72","1,72",0,"1,89","1,7",10,"30,50%","20,40%","1,74",11,"31,80%","22,90%",,,
15-9-2015,0001_1119IS400CV0EV2.jpg,128,-              ,"1,07","1,07",36,"1,17","1,06",11,"36,00%",-,"1,08",17,"37,20%",-,,,
15-9-2015,0001_1119IS400CV0EV2.jpg,128,S. & al. (2007),"1,06","1,06",35,"1,16","1,06",10,"36,20%",-,"1,07",16,"37,20%",-,,,
15-9-2015,0001_1119IS400CV0EV2.jpg,128,C. & C. (1995) ,"1,49","1,49",0,"1,62","1,46",10,"36,00%","24,30%","1,52",0,"37,20%","28,80%",,,
15-9-2015,0001_1119IS400CV0EV2.jpg,128,S.& al.+ C.& C.,"1,48","1,48",0,"1,61","1,45",9,"36,20%","24,40%","1,51",0,"37,20%","28,60%",,,
15-9-2015,0001_1119IS400CV0EV-2.jpg,128,-              ,"1,28","1,28",5,"1,41","1,28",11,"29,20%",-,"1,28",17,"30,70%",-,,,
15-9-2015,0001_1119IS400CV0EV-2.jpg,128,S. & al. (2007),"1,27","1,27",6,"1,41","1,28",11,"29,30%",-,"1,28",17,"30,80%",-,,,
15-9-2015,0001_1119IS400CV0EV-2.jpg,128,C. & C. (1995) ,"1,78","1,78",0,"1,96","1,77",10,"29,20%","19,50%","1,8",11,"30,70%","22,30%",,,
15-9-2015,0001_1119IS400CV0EV-2.jpg,128,S.& al.+ C.& C.,"1,78","1,78",0,"1,96","1,77",10,"29,30%","19,60%","1,8",12,"30,80%","22,10%",,,
15-9-2015,0001_1119IS400CV50EV0.jpg,128,-              ,"1,19","1,19",28,"1,31","1,19",11,"32,00%",-,"1,2",18,"33,60%",-,,,
15-9-2015,0001_1119IS400CV50EV0.jpg,128,S. & al. (2007),"1,19","1,19",28,"1,3","1,19",11,"32,10%",-,"1,2",17,"33,30%",-,,,
